name,amount,timeDone,notifs,resinNotif,userID,fullNotif
Aero,160,0,False,160,158761143945527296,False
Greengree,160,2021-02-03 05:59:17.125306+00:00,True,161,214238249152020480,True
Freya813,160,0,False,160,225802347115315202,False
